Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Heart of the Hunter,Yes,61700000,107.0,34600000,2024 H1,4.7,2263,"Action,Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kraven the Hunter,No,73000000,127.0,34500000,2025 H1,7.6,264,"Action,Adventure,Animation",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Merry Gentlemen,Yes,49800000,88.0,34000000,2024 H2,4.8,10484,"Comedy,Musical,Romance",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Puss in Boots: The Last Wish,No,57400000,102.0,33800000,2023 H2,7.1,17,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee Movie,No,51200000,92.0,33400000,2025 H1,7.4,5,"Comedy,Sci-Fi",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Deadly American Marriage,Yes,55500000,103.0,32300000,2025 H1,6.6,6293,"Crime,Documentary",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9: The Fast Saga,No,76800000,143.0,32200000,2023 H2,6.2,51,Talk-Show,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Christmas Chronicles,Yes,56300000,105.0,32200000,2024 H2,7.0,89855,"Adventure,Comedy,Family",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mary,No,59400000,112.0,31800000,2024 H2,5.8,43,"Drama,Short",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Thelma the Unicorn,Yes,51200000,98.0,31300000,2024 H1,5.7,3186,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Last Bullet,Yes,59000000,113.0,31300000,2025 H1,7.6,9,"Action,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nimona,Yes,53500000,103.0,31200000,2023 H2,7.5,59565,"Action,Adventure,Animation",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Spy Kids: Armageddon,Yes,50900000,98.0,31200000,2023 H2,4.3,4216,"Action,Comedy,Family",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Migration,No,43000000,83.0,31100000,2024 H2,6.6,43347,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
